                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ,unique,pop_2023,pop_2020,pop_estimate_2021,pop_over_500k_2021,home_2023,img_rate,imgrate10,immigration_2020,poverty_2020,pov_over_10,violent_crime_rate_2019,vcrime10,ESTIMATESBASE2020,pop_estimate_2020,pop_estimate_2021,NPOPCHG2020,NPOPCHG2021,births_2020,births_2021,deaths_2020,deaths_2021,NATURALCHG2020,NATURALCHG2021,int_mig_2020,INTERNATIONALMIG2021,DOMESTICMIG2020,DOMESTICMIG2021,NETMIG2020,NETMIG2021,shrinking,RESIDUAL2020,RESIDUAL2021,total_pop,total_male_pop,total_female_pop,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
30,"Beaumont-Port Arthur, TX","395,479","397,565",395419,0,,0.09,0,"35,000",15.8,1,2133,1,397565,396958,395419,-607,-1539,1118,4849,1235,4716,-117,133,2,158,-500,-1848,-498,-1690,1,8,18,"397,566","201,907",195659,141596,134986,48603,49702,2069,1698,5965,5823,182,164,3492,3286,144736,137947,50430,51468,3297,2852,6784,6602,404,336,163686,164315,107582,107084,46835,48246,746,637,5705,5590,93,80,2725,2678,110026,109485,48303,49718,1615,1524,6395,6256,253,209,38221,31344,34014,27902,1768,1456,1323,1061,260,233,89,84,767,608,34710,28462,2127,1750,1682,1328,389,346,151,127
31,"Beckley, WV MSA","111,428",115079,113698,0,,0.00,0,,21,1,,0,115079,114707,113698,-372,-1009,291,1120,512,2061,-221,-941,1,18,-143,-103,-142,-85,1,-9,17,"115,066","58,012",57054,51971,52179,4322,3199,197,124,376,423,16,14,1130,1115,53048,53241,4977,3848,586,523,548,567,53,60,56922,56407,51104,51657,4203,3157,162,112,369,419,16,14,1068,1048,52128,52658,4822,3764,520,481,525,555,51,51,1090,647,867,522,119,42,35,12,7,4,0,0,62,67,920,583,155,84,66,42,23,12,2,9
32,"Bellingham, WA MSA","231,919","226,847",228831,0,,0.10,0,"22,379",13.9,1,502,0,226847,227304,228831,457,1527,511,1934,501,2098,10,-164,11,156,441,1512,452,1668,0,-5,23,"226,852","112,682",114170,97012,98215,1691,1220,3840,3715,5036,5799,374,347,4729,4874,101340,102673,2962,2492,5582,5590,7270,8042,816,821,100931,103083,87478,89277,1443,954,2778,2747,4874,5639,311,285,4047,4181,91199,93140,2525,2038,4133,4243,6882,7642,690,678,11751,11087,9534,8938,248,266,1062,968,162,160,63,62,682,693,10141,9533,437,454,1449,1347,388,400,126,143
33,"Bend, OR MSA","260,919","247,493",204801,0,,0.04,0,"9,862",9.81,0,324,0,198253,199355,204801,1102,5446,483,1789,426,1913,57,-124,-1,-25,1050,5663,1049,5638,0,-4,-68,"247,497","123,990",123507,114263,113871,937,653,3768,3434,1224,1731,243,178,3555,3640,117632,117338,1684,1384,5506,5238,2387,2918,604,562,111782,111713,104094,103761,742,510,2723,2594,1099,1626,181,134,2943,3088,106894,106708,1362,1120,4064,4044,2140,2696,495,474,12208,11794,10169,10110,195,143,1045,840,125,105,62,44,612,552,10738,10630,322,264,1442,1194,247,222,109,88
34,"Billings, MT MSA","191,435","184,167",187037,0,,0.02,0,"3,345",9.45,0,,0,184167,184567,187037,400,2470,490,1885,526,2072,-36,-187,4,105,436,2562,440,2667,0,-4,-10,"184,166","91,576",92590,83042,84082,811,498,4202,4407,578,836,82,69,2861,2698,85768,86632,1667,1256,5759,5897,1203,1428,272,250,86157,87348,79018,80146,734,424,3354,3544,531,783,68,58,2452,2393,81362,82423,1462,1089,4663,4852,1075,1307,221,214,5419,5242,4024,3936,77,74,848,863,47,53,14,11,409,305,4406,4209,205,167,1096,1045,128,121,51,36
35,"Binghamton, NY MSA","243,792","247,138",245220,0,162.2,0.06,0,"16,057",16.7,1,678,0,247138,246554,245220,-584,-1334,592,2348,816,3031,-224,-683,1,116,-349,-811,-348,-695,1,-12,44,"247,135","122,547",124588,107131,109441,6772,6719,341,330,4630,4606,90,67,3583,3425,110481,112624,8903,8822,1094,1032,5666,5549,208,205,116734,119027,103091,105629,5776,5726,221,230,4568,4516,53,45,3025,2881,105909,108313,7511,7414,824,792,5553,5405,150,166,5813,5561,4040,3812,996,993,120,100,62,90,37,22,558,544,4572,4311,1392,1408,270,240,113,144,58,39
36,"Birmingham, AL MSA","1,184,290","1,180,631",1114262,1,,0.04,0,"43,790",13.6,1,,0,1115289,1114710,1114262,-579,-448,2934,12663,3449,13439,-515,-776,-7,282,-51,-2,-58,280,0,-6,48,"1,180,632","570,497",610135,390132,403712,160534,185105,2311,2192,8881,10230,471,408,8168,8488,397494,411259,164819,189711,5120,5137,10971,12352,774,740,535383,578506,358918,375735,158601,183176,1451,1509,8700,10066,182,198,7531,7822,365743,382721,162558,187430,3995,4147,10643,12059,419,452,35114,31629,31214,27977,1933,1929,860,683,181,164,289,210,637,666,31751,28538,2261,2281,1125,990,328,293,355,288
37,"Bismarck, ND MSA","135,786","133,626",134417,0,277,0.03,0,"3,756",7.58,0,394,0,133626,133666,134417,40,751,415,1540,380,1352,35,188,2,40,5,499,7,539,0,-2,24,"133,627","67,366",66261,60886,60364,1661,1151,2923,2849,496,563,69,75,1331,1259,62105,61542,2116,1545,3627,3557,775,828,140,125,64961,64229,59033,58846,1588,1060,2598,2540,471,543,63,71,1208,1169,60155,59946,1996,1410,3218,3186,731,796,116,114,2405,2032,1853,1518,73,91,325,309,25,20,6,4,123,90,1950,1596,120,135,409,371,44,32,24,11
38,"Blacksburg-Christiansburg, VA","181,428","181,854",165293,0,,0.05,0,"9,950",21.4,1,323,0,166378,166111,165293,-267,-818,331,1242,470,1720,-139,-478,11,150,-140,-494,-129,-344,1,1,4,"181,854","92,525",89329,81884,80219,4288,3812,290,249,3823,3167,56,28,2184,1854,83915,81914,5289,4708,767,685,4674,3849,152,104,88950,86170,78834,77528,4084,3657,189,169,3744,3091,36,24,2063,1701,80757,79100,5014,4473,625,537,4571,3739,128,92,3575,3159,3050,2691,204,155,101,80,79,76,20,4,121,153,3158,2814,275,235,142,148,103,110,24,12
39,"Bloomington, IL MSA","170,441","170,954",170889,0,231.5,0.07,0,"11,793",15.2,1,610,0,170954,170870,170889,-84,19,466,1663,373,1474,93,189,14,172,-198,-381,-184,-209,1,7,39,"170,956","83,520",87436,69449,73249,7067,7525,316,320,4444,4121,50,46,2194,2175,71559,75335,8421,8889,667,668,5054,4732,123,102,78249,82231,64970,68767,6793,7227,146,174,4353,4065,34,32,1953,1966,66851,70648,7995,8456,412,450,4931,4654,94,83,5271,5205,4479,4482,274,298,170,146,91,56,16,14,241,209,4708,4687,426,433,255,218,123,78,29,19
40,"Bloomington, IN MSA","160,874","161,039",161321,0,,0.00,0,,21.5,1,,0,161039,160815,161321,-224,506,309,1251,351,1488,-42,-237,16,315,-202,393,-186,708,0,4,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"Boise City, ID MSA","824,657","764,718",795268,1,,0.07,0,"50,841",10.5,1,1880,1,764718,769581,795268,4863,25687,2128,8299,1663,6602,465,1697,-8,51,4367,24210,4359,24261,0,39,-271,"764,714","384,073",380641,354383,351318,5017,3789,4576,4432,7592,9157,1067,958,11438,10987,365184,361748,7813,6412,8704,8356,12647,13964,2157,2040,328360,327101,304498,303446,4393,3189,2209,2150,7054,8710,836,788,9370,8818,313442,311914,6689,5269,5045,4811,11550,12940,1713,1643,55713,53540,49885,47872,624,600,2367,2282,538,447,231,170,2068,2169,51742,49834,1124,1143,3659,3545,1097,1024,444,397
42,"Boston-Cambridge-Newton, MA-NH","4,919,179","4,941,632",4899932,1,,0.19,1,"962,256",8.98,0,13556,1,4941632,4936511,4899932,-5121,-36579,12225,47684,11417,46648,808,1036,811,10505,-6737,-48040,-5926,-37535,1,-3,-80,"4,944,611","2,420,427",2524184,1895842,1970270,233690,248497,11629,11118,212542,227125,2484,2531,64240,64643,1954181,2028602,268815,284335,25271,25031,236139,250683,5601,5689,2129500,2233691,1678309,1754570,190645,202854,3636,3798,209599,224193,974,1070,46337,47206,1720475,1797183,212124,225305,12351,12981,230665,245312,3180,3390,290927,290493,217533,215700,43045,45643,7993,7320,2943,2932,1510,1461,17903,17437,233706,231419,56691,59030,12920,12050,5474,5371,2421,2299
43,"Boulder, CO MSA","326,831","330,758",329543,0,857.2,0.10,0,"31,990",11.2,1,895,0,330758,330811,329543,53,-1268,605,2415,550,2319,55,96,8,191,-11,-1604,-3,-1413,1,1,49,330759,167306,163453,150586,147011,2381,1622,1597,1449,7738,8543,145,109,4859,4719,155214,151507,3600,2786,2959,2800,10323,11041,390,358,142979,139706,128840,125525,1953,1270,664,633,7500,8351,100,71,3922,3856,132596,129226,2962,2252,1521,1521,9772,10558,298,273,24327,23747,21746,21486,428,352,933,816,238,192,45,38,937,863,22618,22281,638,534,1438,1279,551,483,92,85
44,"Bowling Green, KY MSA","188,840","179,639",182594,0,272.6,0.07,0,"13,422",17.5,1,275,0,179639,179978,182594,339,2616,504,2194,478,1951,26,243,1,137,308,2235,309,2372,0,4,1,"179,639","89,125",90514,76039,77795,6830,6639,312,316,3478,3429,415,354,2051,1981,77990,79684,8063,7849,831,815,3876,3813,500,456,83544,85413,71230,73360,6579,6431,187,188,3366,3347,347,288,1835,1799,72986,75083,7704,7539,618,611,3721,3698,418,375,5581,5101,4809,4435,251,208,125,128,112,82,68,66,216,182,5004,4601,359,310,213,204,155,115,82,81
45,"Bozeman, MT MSA","126,409","118,960",,,,0.04,0,"4,436",11,1,,0,,,,,,,,,,,,,,,,,,0,,,"118,958","62,125",56833,58837,53651,301,268,654,629,966,1027,53,50,1314,1208,60102,54827,580,485,1237,1191,1465,1489,128,125,59019,54051,56103,51231,271,240,493,489,946,991,35,36,1171,1064,57230,52266,513,430,996,962,1405,1412,96,101,3106,2782,2734,2420,30,28,161,140,20,36,18,14,143,144,2872,2561,67,55,241,229,60,77,32,24
46,"Bremerton-Silverdale-Port Orchard, WA","277,658","275,611",274314,0,,0.07,0,"18,742",8.2,0,709,0,275611,275660,274314,49,-1346,723,2755,662,2832,61,-77,-4,42,3,-1331,-1,-1289,1,-11,20,"275,612","141,320",134292,116789,109835,5281,3465,2296,2385,6485,8491,1383,1390,9086,8726,125099,117849,7820,5811,4915,5063,11057,12831,2644,2605,128636,122874,106777,100858,4817,3119,1732,1873,6145,8151,1236,1244,7929,7629,114040,107879,7019,5152,3794,4017,10290,12069,2340,2300,12684,11418,10012,8977,464,346,564,512,340,340,147,146,1157,1097,11059,9970,801,659,1121,1046,767,762,304,305
47,"Bridgeport-Stamford-Norwalk, CT","951,558","946,327",959768,1,,0.23,1,"215,623",8.92,0,1619,1,957419,955895,959768,-1524,3873,2291,9146,2129,8696,162,450,191,1810,-1889,1454,-1698,3264,0,12,159,"946,293","464,827",481466,367768,374733,56671,64345,3360,2827,25966,28393,580,548,10482,10620,376918,383949,62819,70953,5421,5108,29679,31811,1415,1276,361899,379954,281049,289422,47734,54730,662,645,25275,27775,173,170,7006,7212,287176,295613,51274,58628,1813,1971,28441,30796,635,632,102928,101512,86719,85311,8937,9615,2698,2182,691,618,407,378,3476,3408,89742,88336,11545,12325,3608,3137,1238,1015,780,644
48,"Brownsville-Harlingen, TX","426,710","421,017",,,,0.23,1,"94,927",26.7,1,1588,1,,,,,,,,,,,,,,,,,,0,,,"421,020","207,327",213693,200602,207641,2128,1576,1420,1402,1929,1743,170,155,1078,1176,201572,208705,2459,1948,1918,1931,2281,2113,237,253,22783,21508,19182,18552,1228,698,235,258,1631,1467,76,58,431,475,19576,18987,1362,867,391,420,1809,1642,90,92,184544,192185,181420,189089,900,878,1185,1144,298,276,94,97,647,701,181996,189718,1097,1081,1527,1511,472,471,147,161
49,"Brunswick, GA","116,074",113495,113963,0,,0.05,0,"5,348",17.1,1,,0,113495,113492,113963,-3,471,248,1140,366,1603,-118,-463,0,23,122,900,122,923,0,-7,11,"113,494","53,948",59546,39397,42750,12409,14437,307,341,704,831,99,96,1032,1091,40323,43728,12994,15062,653,706,927,1086,153,134,50467,56199,36596,40050,12055,14152,167,181,656,782,51,60,942,974,37442,40926,12596,14715,466,493,865,1014,104,95,3481,3347,2801,2700,354,285,140,160,48,49,48,36,90,117,2881,2802,398,347,187,213,62,72,49,39
50,"Buffalo-Cheektowaga, NY","1,155,604","1,166,902",1162336,1,,0.07,0,"78,423",13.5,1,3980,1,1166902,1165506,1162336,-1396,-3170,2967,11201,3640,14355,-673,-3154,45,668,-724,-924,-679,-256,1,-44,240,"1,166,897","568,993",597904,461484,478776,69256,79348,4782,5165,19901,20581,303,317,13267,13717,473640,491271,77523,88046,7599,8164,23562,24238,695,733,536043,563468,436828,453313,64474,73861,3544,3928,19585,20283,165,184,11447,11899,447284,464118,71426,81213,5842,6428,23085,23781,501,531,32950,34436,24656,25463,4782,5487,1238,1237,316,298,138,133,1820,1818,26356,27153,6097,6833,1757,1736,477,457,194,202
51,"Burlington, NC","227,942","225,562",173877,0,,0.07,0,"15,291",10.7,1,444,0,171415,171842,173877,427,2035,474,1795,569,2076,-95,-281,2,3,520,2319,522,2322,0,0,-6,"171,426","82,199",89227,60376,64516,16955,19571,1312,1344,1538,1665,90,103,1928,2028,62087,66293,18231,20947,1866,1939,1951,2082,170,204,69634,77160,50185,54761,16146,18843,308,359,1432,1551,35,30,1528,1616,51558,56194,17179,19961,670,775,1765,1887,90,97,12565,12067,10191,9755,809,728,1004,985,106,114,55,73,400,412,10529,10099,1052,986,1196,1164,186,195,80,107
52,"Burlington, NC MSA","179,165","171,415",226611,0,317.2,0.08,0,"14,503",15.4,1,686,0,225562,225563,226611,1,1048,526,1875,533,1913,-7,-38,7,207,3,841,10,1048,0,-2,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Canton-Massillon, OH","399,474","401,574",400525,0,,0.02,0,"8,438",13.3,1,1345,1,401574,401046,400525,-528,-521,1101,4069,1442,5481,-341,-1412,2,52,-164,777,-162,829,0,-25,62,"401,580","197,056",204524,174164,180711,14818,15501,681,573,1720,2092,84,76,5589,5571,179527,186008,18864,19552,1949,1905,2461,2816,197,189,191492,199276,169634,176456,14406,15043,483,436,1677,2054,43,49,5249,5238,174676,181444,18206,18865,1647,1671,2389,2744,145,147,5564,5248,4530,4255,412,458,198,137,43,38,41,27,340,333,4851,4564,658,687,302,234,72,72,52,42
54,"Cape Coral-Fort Myers, FL","834,573","760,822",787976,1,,0.18,1,"135,738",11.8,1,1979,1,760822,764679,787976,3857,23297,1639,6677,2278,9861,-639,-3184,94,949,4504,25864,4598,26813,0,-102,-332,"760,814","374,316",386498,324734,334274,34193,35740,2062,1673,5960,7531,465,395,6902,6885,330931,340390,38240,39713,3571,3300,7918,9535,938,870,286413,301287,244484,256085,30226,31804,803,784,5602,7205,134,166,5164,5243,249068,260664,33155,34726,1876,1977,7237,8896,502,561,87903,85211,80250,78189,3967,3936,1259,889,358,326,331,229,1738,1642,81863,79726,5085,4987,1695,1323,681,639,436,309
55,"Cape Girardeau, MO-IL MSA","98,223",97517,97699,0,216.1,0.02,0,"2,129",16.5,1,373,0,97517,97481,97699,-36,218,266,1043,329,1280,-63,-237,2,67,28,376,30,443,0,-3,12,"97,523","47,750",49773,41591,43296,3972,4274,232,207,774,833,26,25,1155,1138,42700,44387,4674,4988,530,490,980,1025,59,58,46491,48575,40627,42340,3884,4199,149,147,751,805,24,23,1056,1061,41641,43363,4533,4869,405,396,946,988,53,54,1259,1198,964,956,88,75,83,60,23,28,2,2,99,77,1059,1024,141,119,125,94,34,37,6,4
56,"Carson City, NV MSA","58,036",58639,58993,0,,0.13,1,"7,608",9.99,0,193,0,58639,58677,58993,38,316,168,515,244,853,-76,-338,0,14,117,640,117,654,0,-3,0,"58,646","30,409",28237,26662,25198,1041,359,896,832,758,789,112,85,940,974,27533,26088,1245,579,1322,1255,1074,1128,197,184,22642,21142,19675,18835,953,264,594,555,688,702,75,60,657,726,20283,19500,1105,442,844,821,945,984,139,141,7767,7095,6987,6363,88,95,302,277,70,87,37,25,283,248,7250,6588,140,137,478,434,129,144,58,43
57,"Casper, WY MSA","79,941",79955,79555,0,,0.00,0,,9.61,0,227,0,79955,80229,79555,274,-674,251,901,213,930,38,-29,1,5,235,-655,236,-650,1,0,5,"79,966","40,516",39450,38064,36970,509,520,614,539,333,382,26,31,970,1008,38992,37942,891,920,1033,957,543,618,93,95,36710,36083,34848,34127,425,430,389,368,277,339,22,19,749,800,35571,34903,733,754,681,662,449,536,67,73,3806,3367,3216,2843,84,90,225,171,56,43,4,12,221,208,3421,3039,158,166,352,295,94,82,26,22
58,"Cedar Rapids, IA MSA","275,668","276,520",275435,0,205.3,0.04,0,"11,955",9.34,0,514,0,276520,276446,275435,-74,-1011,792,3051,691,2914,101,137,8,225,-179,-1387,-171,-1162,1,-4,14,276524,137743,138781,122282,124170,8231,7044,386,442,3117,3211,197,205,3530,3709,125667,127736,10519,9381,1072,1182,3928,4094,306,317,132850,133868,118054,120013,8002,6788,270,299,3071,3169,176,185,3277,3414,121200,123301,10136,8969,864,912,3850,4010,275,283,4893,4913,4228,4157,229,256,116,143,46,42,21,20,253,295,4467,4435,383,412,208,270,78,84,31,34
59,"Chambersburg, PA MSA","157,854","155,932",156289,0,,0.04,0,"5,793",8.94,0,,0,155932,155874,156289,-58,415,423,1679,470,1932,-47,-253,0,87,-4,559,-4,646,0,-7,22,"155,945","77,104",78841,70843,72897,3570,2970,297,225,703,1001,57,50,1634,1698,72387,74496,4665,4106,626,584,1022,1330,114,107,71533,73680,66447,68767,2916,2383,162,122,624,933,24,14,1360,1461,67747,70153,3813,3346,426,423,905,1233,69,61,5571,5161,4396,4130,654,587,135,103,79,68,33,36,274,237,4640,4343,852,760,200,161,117,97,45,46
60,"Champaign-Urbana, IL","235,608","236,072",222696,0,,0.11,1,"27,079",18.1,1,1099,1,222538,222123,222696,-415,573,588,2317,500,1903,88,414,23,566,-537,-455,-514,111,0,11,48,"236,075","117,767",118308,88150,88610,13891,15190,509,396,11622,10476,148,97,3447,3539,91346,91908,15678,17095,1046,957,13031,11857,316,254,108872,109825,80749,81444,13222,14615,249,176,11474,10323,98,74,3080,3193,83600,84420,14810,16318,666,621,12802,11640,252,216,8895,8483,7401,7166,669,575,260,220,148,153,50,23,367,346,7746,7488,868,777,380,336,229,217,64,38
61,"Charleston, WV","849,417","799,636",255020,0,,0.06,0,"45,282",12.4,1,3202,1,258859,257840,255020,-1019,-2820,606,2433,1066,4213,-460,-1780,4,104,-547,-1162,-543,-1058,1,-16,18,210605,102630,107975,91960,97365,6960,6920,199,184,987,1034,22,28,2502,2444,94367,99720,8587,8527,867,814,1393,1428,83,92,101137,106543,90660,96133,6884,6840,152,160,973,1009,16,22,2452,2379,93021,98424,8483,8413,798,757,1363,1387,76,83,1493,1432,1300,1232,76,80,47,24,14,25,6,6,50,65,1346,1296,104,114,69,57,30,41,7,9
62,"Charleston, WV MSA","203,164","210,605",813052,1,174.7,0.02,0,"3,907",18.1,1,,0,799636,802961,813052,3325,10091,2308,9307,1781,8113,527,1194,45,666,2733,8216,2778,8882,0,20,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,"Charlotte-Concord-Gastonia, NC-SC","2,805,115","2,660,329",2701046,1,,0.11,1,"286,135",11.1,1,,0,2660329,2669665,2701046,9336,31381,7396,30082,5930,25345,1466,4737,203,2682,7561,23970,7764,26652,0,106,-8,2660348,1298634,1361714,905432,923135,293923,338010,10364,10077,57881,57451,1302,1321,29732,31720,931801,950877,312674,358378,18735,19588,65223,65137,2386,2510,1140623,1208106,774658,797094,279103,322605,4451,4544,56535,56235,510,556,25366,27072,797198,820786,295099,339931,11106,12243,63016,63039,1353,1508,158011,153608,130774,126041,14820,15405,5913,5533,1346,1216,792,765,4366,4648,134603,130091,17575,18447,7629,7345,2207,2098,1033,1002
64,"Charlottesville, VA MSA","225,127","221,524",222688,0,,0.08,0,"18,389",11.1,1,385,0,221524,221522,222688,-2,1166,530,2136,516,2083,14,53,7,275,-11,851,-4,1126,0,-12,-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Chattanooga, TN-GA MSA","580,971","562,647",567641,1,296.2,0.04,0,"24,457",12.9,1,2969,1,562647,563599,567641,952,4042,1560,6041,1741,7172,-181,-1131,-2,86,1145,5058,1143,5144,0,-10,29,"562,648","274,364",288284,226228,234817,35615,41004,1758,1561,4929,5055,427,391,5407,5456,231275,239878,38462,43924,3651,3474,6080,6181,637,627,257092,272962,211883,222087,34665,40116,769,811,4742,4876,179,161,4854,4911,216429,226647,37251,42776,2388,2470,5807,5916,358,361,17272,15322,14345,12730,950,888,989,750,187,179,248,230,553,545,14846,13231,1211,1148,1263,1004,273,265,279,266
66,"Cheyenne, WY MSA","100,984",100512,100863,0,360.9,0.03,0,"3,264",8.94,0,,0,100512,100690,100863,178,173,322,1125,263,996,59,129,2,11,118,15,120,26,0,-1,18,"100,512","51,329",49183,46743,45304,1510,995,682,654,666,689,85,81,1643,1460,48301,46680,2169,1579,1284,1161,1167,1136,179,167,43311,41607,39727,38616,1336,828,308,333,586,618,50,45,1304,1167,40970,39722,1867,1304,733,689,1021,1000,114,111,8018,7576,7016,6688,174,167,374,321,80,71,35,36,339,293,7331,6958,302,275,551,472,146,136,65,56
67,"Chicago-Naperville-Elgin, IL-IN-WI","9,262,825","9,449,351",9509934,1,,0.18,1,"1,697,201",11.3,1,,0,9618502,9601605,9509934,-16897,-91671,25664,100116,21923,88978,3741,11138,58,4284,-20902,-106897,-20844,-102613,1,206,-196,"9,450,304","4,654,535",4795769,3428364,3423257,750929,876781,34495,32403,339459,361439,3410,3305,97878,98584,3516502,3511424,796315,924352,59913,59163,379988,400749,7590,7426,3524346,3711797,2395140,2435938,716186,839934,5683,6260,331045,353018,1116,1112,75176,75535,2462538,2503024,750514,875971,20879,22762,366382,387054,4250,4230,1130189,1083972,1033224,987319,34743,36847,28812,26143,8414,8421,2294,2193,22702,23049,1053964,1008400,45801,48381,39034,36401,13606,13695,3340,3196
68,"Chico, CA MSA","207,172","211,632",208309,0,409.2,0.08,0,"16,136",18.2,1,1024,1,211632,210083,208309,-1549,-1774,504,2022,607,2383,-103,-361,2,14,-1451,-1453,-1449,-1439,1,3,26,"211,630","105,366",106264,89622,90664,2284,1806,2844,2868,5417,5436,319,312,4880,5178,94176,95493,3700,3322,4938,5118,7092,7151,747,764,84969,86656,72151,74018,1919,1444,1620,1662,5196,5227,230,236,3853,4069,75764,77829,3118,2703,3035,3213,6669,6719,578,604,20397,19608,17471,16646,365,362,1224,1206,221,209,89,76,1027,1109,18412,17664,582,619,1903,1905,423,432,169,160
69,"Cincinnati, OH-KY-IN MSA","2,271,479","2,249,797",2259935,1,282,0.05,0,"119,064",11.7,1,5264,1,2256884,2257667,2259935,783,2268,6567,25985,6062,25266,505,719,82,1509,198,-213,280,1296,0,-2,253,"2,249,781","1,110,536",1139245,909378,924335,137503,150835,3140,2971,33467,33782,1556,1267,25492,26055,933370,948738,153127,167214,9160,9269,39896,40104,2241,1987,1061999,1092980,869205,886389,133936,147138,1665,1730,32815,33111,1087,875,23291,23737,891166,908662,148207,162045,6851,7137,38855,39046,1670,1484,48537,46265,40173,37946,3567,3697,1475,1241,652,671,469,392,2201,2318,42204,40076,4920,5169,2309,2132,1041,1058,571,503
70,"Clarksville, TN-KY MSA","340,495","320,535",328304,0,,0.05,0,"16,048",13.8,1,1201,1,320535,321607,328304,1072,6697,1331,5200,756,3050,575,2150,-12,-69,482,4665,470,4596,0,27,-49,"320,518","162,408",158110,117827,112841,32824,32944,1200,1044,2810,3608,605,584,7142,7089,124280,119236,37118,37248,2864,2701,5017,5787,1058,1051,146732,144409,105541,102144,31304,31563,745,632,2582,3411,453,486,6107,6173,111110,107743,35014,35346,1989,1934,4499,5325,802,859,15676,13701,12286,10697,1520,1381,455,412,228,197,152,98,1035,916,13170,11493,2104,1902,875,767,518,462,256,192
71,"Cleveland, OH MSA","2,158,932","2,185,825",127938,0,,0.06,0,"124,628",14,1,8271,1,126164,126310,127938,146,1628,330,1273,433,1662,-103,-389,0,34,251,1993,251,2027,0,-2,-10,"2,185,727","1,064,923",1120804,807806,830311,202106,232559,2896,2921,26562,28619,470,532,25083,25862,830646,853685,218602,249897,9305,9836,32345,34406,1207,1280,995651,1051844,751944,775384,193974,224007,1666,1709,26000,28071,195,210,21872,22463,771931,795740,208324,238997,6836,7307,31236,33287,790,811,69272,68960,55862,54927,8132,8552,1230,1212,562,548,275,322,3211,3399,58715,57945,10278,10900,2469,2529,1109,1119,417,469
72,"Cleveland, TN MSA","129,612","126,164",2075662,1,301,0.05,0,"5,948",15.1,1,698,0,2088251,2085357,2075662,-2894,-9695,5264,20924,6549,25851,-1285,-4927,99,1177,-1619,-6089,-1520,-4912,1,-89,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Coeur d'Alene, ID MSA","185,010","171,362",179789,0,,0.02,0,"3,824",10.3,1,362,0,171362,172646,179789,1284,7143,487,1782,463,1815,24,-33,-1,-27,1261,7310,1260,7283,0,0,-107,"171,363","85,279",86084,80711,81159,415,335,1139,1108,619,995,139,136,2256,2351,82901,83441,819,763,2301,2338,1305,1719,328,311,80885,81721,76957,77467,365,268,949,909,569,957,110,119,1935,2001,78849,79411,720,639,1881,1902,1202,1610,274,280,4394,4363,3754,3692,50,67,190,199,50,38,29,17,321,350,4052,4030,99,124,420,436,103,109,54,31
74,"College Station-Bryan, TX","281,445","268,248",272041,0,,0.11,1,"30,660",22.3,1,696,0,268248,268864,272041,616,3177,748,2918,443,1940,305,978,20,388,272,1760,292,2148,0,19,51,"268,244","135,367",132877,108060,105971,15233,16359,1072,989,7956,6531,144,162,2902,2865,110766,108643,16434,17554,1858,1797,9097,7591,269,303,99697,98246,74929,73820,14402,15470,424,381,7783,6384,72,88,2087,2103,76882,75787,15257,16364,896,879,8698,7227,158,188,35670,34631,33131,32151,831,889,648,608,173,147,72,74,815,762,33884,32856,1177,1190,962,918,399,364,111,115
